股票代號,股票名稱,價格,張數
2330,台積電          ,86600.00,12
2330,台積電          ,88300.00,312
2330,台積電          ,90000.00,424
2330,台積電          ,90200.00,432
2330,台積電          ,90200.00,461
2330,台積電          ,90200.00,504
2330,台積電          ,89600.00,677
2330,台積電          ,90200.00,722
2330,台積電          ,90200.00,819
2330,台積電          ,90500.00,892
2330,台積電          ,91200.00,899
2330,台積電          ,91500.00,899
2330,台積電          ,91800.00,899
2330,台積電          ,92000.00,903
2330,台積電          ,92000.00,903
2330,台積電          ,92000.00,902
2330,台積電          ,92000.00,902
2330,台積電          ,92100.00,907
2330,台積電          ,92100.00,915
2330,台積電          ,91900.00,1014
2330,台積電          ,91500.00,1088
2330,台積電          ,92000.00,1088
2330,台積電          ,92000.00,1088
2330,台積電          ,92000.00,1088
2330,台積電          ,91600.00,1195
2330,台積電          ,91800.00,1196
2330,台積電          ,91800.00,1196
2330,台積電          ,91800.00,1196
2330,台積電          ,91800.00,1196
2330,台積電          ,91800.00,1196
2330,台積電          ,91800.00,1196
2330,台積電          ,91800.00,1196
2330,台積電          ,91800.00,1196
2330,台積電          ,91900.00,1197
2330,台積電          ,91900.00,1197
2330,台積電          ,91900.00,1197
2330,台積電          ,91900.00,1197
2330,台積電          ,92000.00,1197
2330,台積電          ,92000.00,1197
2330,台積電          ,92000.00,1197
2330,台積電          ,92000.00,1197
2330,台積電          ,92000.00,1197
2330,台積電          ,92000.00,1197
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1321
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91800.00,1320
2330,台積電          ,91900.00,1321
2330,台積電          ,92100.00,1329
2330,台積電          ,92100.00,1329
2330,台積電          ,92100.00,1329
2330,台積電          ,92100.00,1330
2330,台積電          ,92100.00,1331
2330,台積電          ,92200.00,1331
2330,台積電          ,92100.00,1335
2330,台積電          ,92100.00,1335
2330,台積電          ,92200.00,1335
2330,台積電          ,92200.00,1335
2330,台積電          ,92200.00,1335
2330,台積電          ,92200.00,1335
2330,台積電          ,92200.00,1336
2330,台積電          ,92200.00,1336
2330,台積電          ,92200.00,1336
2330,台積電          ,92200.00,1336
2330,台積電          ,92200.00,1336
2330,台積電          ,92300.00,1336
2330,台積電          ,92300.00,1336
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92300.00,1337
2330,台積電          ,92400.00,1337
2330,台積電          ,92400.00,1354
2330,台積電          ,92400.00,1354
2330,台積電          ,92400.00,1361
2330,台積電          ,92400.00,1361
2330,台積電          ,92400.00,1361
2330,台積電          ,92400.00,1361
2330,台積電          ,92500.00,1361
2330,台積電          ,92500.00,1361
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92500.00,1354
2330,台積電          ,92600.00,1354
2330,台積電          ,92600.00,1354
2330,台積電          ,92600.00,1354
2330,台積電          ,92700.00,1354
2330,台積電          ,92700.00,1354
2330,台積電          ,92800.00,1354
2330,台積電          ,92900.00,1354
2330,台積電          ,92900.00,1354
2330,台積電          ,92900.00,1354
2330,台積電          ,92900.00,1354
2330,台積電          ,92900.00,1354
2330,台積電          ,92900.00,1354
